group_id,x,y,z,dx,dy,dz,vx,vy,vz,sigx,sigy,sigz,feh,dfeh,population,Psun
Cand17,9.74184677,-0.29577935,2.61588347,1.33869687,0.92652920,2.55109097,29.02257063,77.54255061,116.47726292,201.11619014,13.25353033,269.85579889,-2.13244150,0.18449122,14.00000000,0.99373052
Cand18a,8.36896366,-2.06301895,5.10234940,0.83336681,0.84020851,1.61304134,446.20814879,37.06275658,89.64041411,17.45572555,16.71922795,70.64081758,-1.22951150,0.06504249,4.00000000,2.53608362
Cand18b,6.68481839,0.80160245,5.35962720,3.64163255,1.33860429,1.56217398,-450.59356253,-31.06382090,-84.30819129,48.01449244,28.03474159,134.20813164,-1.28641300,0.17060426,8.00000000,2.53608362
NCand0a,9.37222885,-0.63546074,2.35429518,1.55140367,2.05100828,3.04170343,356.32681189,90.12654748,89.02246323,35.00642708,17.31578087,88.47762007,-1.35022779,0.19682028,19.00000000,0.86456183
NCand0b,9.87238308,1.01274188,3.19642718,1.30501612,1.76197884,0.87796044,-339.85639373,92.45222550,-99.36703398,15.43108670,9.54854355,57.63218724,-1.28698050,0.12252554,10.00000000,0.86456183
NCand1a,7.59067123,0.25321337,3.26346030,0.67169417,2.20065537,1.02251458,407.18318747,-14.77292140,138.20154555,27.60091013,27.86426805,47.47941554,-1.28435264,0.10893167,11.00000000,1.24310904
NCand1b,7.63273294,1.71489940,2.43220169,2.00841759,1.04326556,1.78006975,-391.74045673,-26.23429271,-106.08242724,30.91743037,40.41664356,103.66826129,-1.32394856,0.17264496,9.00000000,1.24310904
NCand2,9.87537797,0.02154153,2.58895066,1.56679714,1.95202666,4.05343899,-81.30473379,120.30012232,45.36846196,242.78619369,24.37737355,201.41274185,-1.58163134,0.20681849,35.00000000,0.61268580
NCand3,9.24693530,0.16194641,1.27990511,1.61445219,1.93985440,3.51559361,-88.37884877,91.79840582,195.28709546,202.76432823,21.21851959,201.36926633,-1.43588414,0.19010504,14.00000000,0.22543595
NCand4,12.42399687,0.61799796,6.56098539,1.49593067,2.00488534,0.95925844,-8.04099984,-216.48366793,-1.26122785,45.14932851,31.23208601,67.79576753,-1.54470550,0.21398848,8.00000000,6.90001736
NCand5,14.73172229,-1.26839077,1.84544831,1.70483154,1.75720922,3.27466055,11.53051962,214.60442411,36.26712046,10.62618441,21.89467062,30.43749109,-1.29745520,0.13912648,5.00000000,4.40121646
NCand6a,7.50912003,1.41259889,1.74602587,0.99416598,1.60456987,1.36244187,47.91873194,-34.62156413,-167.86358685,48.50845551,14.55032010,15.25067968,-1.98256420,0.31707771,10.00000000,0.28706175
NCand6b,8.10898509,0.19600976,1.05993629,0.93573604,1.09013735,1.53025487,-34.87697491,-33.49318450,178.05131979,49.65715097,14.61357082,9.11591583,-2.00062036,0.10811131,11.00000000,0.28706175
NCand7,8.35405237,1.17986824,0.74506982,2.68919336,1.72822809,4.55596280,-164.56385338,-105.41571182,65.82487827,209.31964542,26.77723228,352.12696374,-1.32354406,0.32923558,11.00000000,0.84904624
NCand8,10.12372553,-1.29464604,2.55964791,1.33479032,1.85221610,4.40912964,88.89789585,330.31403152,-174.59682766,81.76093019,37.37883439,150.89562283,-1.76034671,0.16318476,7.00000000,0.97714758
NCand9a,7.90641588,0.21581170,2.26346169,1.73951308,1.18644508,3.35788296,-56.98940632,67.94991626,180.81222543,75.61031524,28.98728947,49.51945508,-2.11471538,0.30261792,13.00000000,0.20551702
NCand9b,6.92992380,0.61610008,2.43464934,1.31541377,0.92730396,2.65573882,49.94349783,72.90301588,-171.93300755,65.49316984,21.60335811,25.91574451,-1.76461744,0.35948712,9.00000000,0.20551702
NCand10,8.89155337,-0.04833185,1.12812932,1.81207598,1.98169546,3.77052484,-20.36570487,30.30962962,61.98214441,86.18224910,20.06306690,204.38323198,-1.84334500,0.30270485,37.00000000,0.07389628
NCand11,9.61785990,0.86099982,1.54380520,2.44994247,2.37280170,4.90090118,-1.17250549,-191.22325196,75.59918896,73.18956657,46.47698928,95.87209319,-1.79862570,0.14397871,20.00000000,0.36740797
NCand12,10.26085369,0.73968733,1.65792811,2.00351097,1.75413169,5.11159592,2.12714073,104.96861186,-82.80323290,144.35220504,24.65084405,164.95721584,-1.72766211,0.28885755,18.00000000,0.39805645
